MapCode,SpeciesName,CohortAge,CohortBiomass
11434,AbieConc,70,168
11434,AbieConc,75,122
11434,AbieConc,80,224
11434,AbieConc,85,359
11434,AbieConc,90,726
11434,AbieConc,100,1619
11434,AbieConc,105,2180
11434,PopuTrem,110,907
11447,AbieConc,55,4
11447,AbieConc,60,16
11447,AbieConc,65,27
11447,AbieConc,70,261
11447,AbieConc,75,100
11447,AbieConc,80,944
11447,AbieConc,85,688
11447,AbieConc,90,1436
11447,AbieConc,95,975
11447,AbieConc,100,903
11447,PseuMenz,60,17
11447,PseuMenz,80,309
11447,PseuMenz,85,383
11447,PseuMenz,95,1209
11447,PseuMenz,100,1217
11447,PseuMenz,105,1309
11447,PopuTrem,65,25
11447,PopuTrem,80,169
11447,PopuTrem,90,421
11448,JuniMono,70,98
11448,PinuPond,45,153
11448,PinuPond,70,119
11448,PseuMenz,55,406
11448,PseuMenz,70,64
11448,PseuMenz,80,187
11448,PseuMenz,85,1891
11448,PseuMenz,90,502
11448,PseuMenz,105,2228
11448,QuerGamb,20,329
11448,QuerGamb,25,51
11448,QuerGamb,35,173
11490,JuniOste,65,87
11490,AbieConc,20,28
11490,AbieConc,60,80
11490,AbieConc,75,150
11490,AbieConc,85,866
11490,AbieConc,95,1266
11490,PseuMenz,10,15
11490,PopuTrem,30,71
11490,PopuTrem,50,229
11490,PopuTrem,60,498
11490,PopuTrem,65,138
11490,PopuTrem,70,496
11490,PopuTrem,75,891
11490,PopuTrem,80,1205
11490,PopuTrem,85,452
11490,PopuTrem,90,154
11505,PinuPond,55,13
11505,PinuPond,60,19
11505,PinuPond,65,75
11505,PinuPond,70,270
11505,PinuPond,75,535
11505,PinuPond,80,236
11505,PinuPond,85,379
11505,PinuPond,90,709
11505,PinuPond,95,878
11626,AbieConc,45,206
11626,PinuPond,55,57
11626,PinuPond,60,44
11626,PinuPond,70,163
11626,PinuPond,80,166
11626,PinuPond,90,680
11626,PinuPond,95,792
11626,PinuPond,100,2389
11626,PseuMenz,65,69
11626,PseuMenz,70,340
11626,PseuMenz,75,96
11626,PseuMenz,80,357
11626,PseuMenz,85,696
11626,PseuMenz,90,691
11626,PseuMenz,100,539
11626,PseuMenz,105,894
11626,PseuMenz,115,4374
11863,AbieLasi,5,20
11863,AbieLasi,10,11
11863,AbieLasi,20,56
11863,AbieLasi,25,118
11863,AbieLasi,30,55
11863,AbieLasi,40,213
11863,AbieLasi,50,192
11863,AbieLasi,60,64
11863,AbieLasi,65,228
11863,AbieLasi,70,217
11863,AbieLasi,75,535
11863,AbieLasi,85,243
11863,AbieLasi,90,839
11863,AbieLasi,100,1524
11863,AbieLasi,105,935
11863,AbieLasi,110,1077
11863,PopuTrem,40,143
11863,PopuTrem,80,136
11863,PopuTrem,90,226
11863,PopuTrem,100,419
11863,PopuTrem,105,616
11940,PopuTrem,65,27
11940,PopuTrem,70,137
11940,PopuTrem,75,214
11940,PopuTrem,80,330
11940,PopuTrem,90,161
12168,PopuTrem,65,22
12168,PopuTrem,70,117
12168,PopuTrem,75,110
12168,PopuTrem,80,843
12168,PopuTrem,85,1292
12168,PopuTrem,90,848
12168,PopuTrem,105,543
12327,AbieLasi,45,131
12327,AbieLasi,55,337
12327,AbieLasi,60,23
12327,AbieLasi,65,19
12327,AbieLasi,70,133
12327,AbieLasi,75,77
12327,AbieLasi,80,143
12327,AbieLasi,90,340
12327,PopuTrem,70,187
12327,PopuTrem,75,113
12327,PopuTrem,80,916
12327,PopuTrem,85,233
12327,PopuTrem,90,1553
12327,PopuTrem,95,3791
12327,PopuTrem,100,3812
12386,PiceEnge,130,660
12386,PopuTrem,45,169
12386,PopuTrem,55,637
12386,PopuTrem,60,852
12386,PopuTrem,65,140
12386,PopuTrem,70,506
12386,PopuTrem,75,535
12386,PopuTrem,80,418
12386,PopuTrem,85,1145
12386,PopuTrem,90,319
12386,PopuTrem,95,268
12386,PopuTrem,105,1050
12479,AbieLasi,70,50
12479,PiceEnge,95,333
12479,PiceEnge,105,510
12479,PiceEnge,115,4344
12479,PiceEnge,120,3322
12479,PiceEnge,125,2988
12482,AbieConc,30,55
12482,AbieConc,65,137
12482,AbieConc,70,237
12482,AbieConc,75,348
12482,AbieConc,80,931
12482,AbieConc,90,3391
12482,AbieConc,95,963
12482,PopuTrem,60,403
12482,PopuTrem,65,49
12482,PopuTrem,70,167
12482,PopuTrem,75,86
12482,PopuTrem,80,105
12482,PopuTrem,85,250
12482,PopuTrem,95,298
12482,PopuTrem,100,583
12482,QuerGamb,15,266
12482,QuerGamb,20,1294
12482,QuerGamb,25,447
12635,JuniOste,5,9
12635,JuniOste,15,23
12635,JuniOste,40,176
12635,JuniOste,55,14
12635,JuniOste,60,232
12635,JuniOste,65,505
12635,JuniOste,70,523
12635,JuniOste,75,269
12635,JuniOste,80,349
12635,AbieLasi,10,13
12635,AbieLasi,20,51
12635,AbieLasi,35,84
12635,AbieLasi,40,194
12635,AbieLasi,45,166
12635,AbieLasi,55,283
12635,AbieLasi,70,52
12635,AbieLasi,75,88
12635,AbieLasi,85,137
12635,PiceEnge,25,34
12635,PiceEnge,35,61
12635,PiceEnge,70,36
12635,PiceEnge,90,138
12673,JuniOste,70,10
12673,JuniOste,85,508
12673,JuniOste,90,586
12673,JuniOste,95,1096
12673,JuniOste,100,1471
12673,JuniOste,105,1282
12709,JuniOste,10,16
12709,JuniOste,60,97
12709,JuniOste,65,39
12709,JuniOste,80,144
12709,JuniOste,85,530
12709,JuniOste,90,274
12709,JuniOste,100,523
12709,PinuEdul,115,17
12709,PinuEdul,125,65
12709,PinuEdul,130,101
12709,PinuEdul,135,61
12709,PinuEdul,145,100
12709,PinuEdul,160,330
12709,PinuEdul,165,264
12709,PinuEdul,170,668
12709,PinuEdul,175,1017
12709,PinuEdul,205,808
12709,PinuEdul,210,1000
12742,AbieConc,10,13
12742,AbieConc,45,179
12742,AbieConc,85,1525
12742,AbieConc,90,1394
12742,AbieConc,95,846
12742,AbieConc,100,1028
12742,PinuPond,75,243
12742,PinuPond,80,338
12742,PinuPond,85,1037
12742,PinuPond,90,1335
12742,PinuPond,100,1268
12742,QuerGamb,10,29
12742,QuerGamb,15,276
12742,QuerGamb,20,356
12777,AbieLasi,60,44
12777,AbieLasi,65,59
12777,AbieLasi,70,180
12777,AbieLasi,75,125
12777,AbieLasi,80,89
12777,AbieLasi,85,181
12777,AbieLasi,100,490
12777,PiceEnge,60,259
12777,PiceEnge,65,334
12777,PiceEnge,100,411
12777,PiceEnge,105,695
12777,PiceEnge,110,785
12777,PiceEnge,115,1083
12777,PiceEnge,125,2034
12777,PopuTrem,65,55
12777,PopuTrem,70,254
12777,PopuTrem,75,354
12777,PopuTrem,80,1571
12777,PopuTrem,85,2115
12777,PopuTrem,90,2036
12777,PopuTrem,95,2151
12777,PopuTrem,100,466
12777,PopuTrem,105,1602
12777,PopuTrem,115,1340
12932,JuniMono,85,96
12932,PinuEdul,5,11
12932,PinuEdul,65,65
12932,PinuEdul,90,130
12932,PinuEdul,130,47
12932,PinuEdul,135,68
12932,PinuEdul,145,82
12932,PinuEdul,155,129
12932,PinuEdul,160,168
12932,PinuPond,10,22
12932,PinuPond,25,32
12932,PinuPond,60,31
12932,PinuPond,75,292
12932,QuerGamb,10,178
12932,QuerGamb,25,16
12943,PinuEdul,115,59
12943,PinuEdul,120,23
12943,PinuPond,55,106
12943,PinuPond,60,71
12943,PinuPond,65,517
12943,PinuPond,70,827
12943,PinuPond,75,1080
12943,PinuPond,80,715
12943,PinuPond,90,432
12943,PseuMenz,60,26
12943,PseuMenz,75,99
12943,QuerGamb,10,193
12943,QuerGamb,15,391
12943,QuerGamb,20,303
13204,AbieConc,80,223
13204,AbieConc,85,390
13204,PiceEnge,80,71
13204,PiceEnge,85,117
13204,PiceEnge,125,2797
13204,PseuMenz,110,1927
13204,PopuTrem,70,365
13204,PopuTrem,75,1425
13204,PopuTrem,80,1090
13204,PopuTrem,85,5611
13204,PopuTrem,90,6647
13204,PopuTrem,95,2410
13204,PopuTrem,100,4858
13204,PopuTrem,105,756
13378,JuniMono,70,38
13378,JuniMono,85,189
13378,JuniMono,95,241
13378,PinuPond,105,2094
13378,QuerGamb,10,645
13378,QuerGamb,15,1211
13378,QuerGamb,20,25
13513,JuniOste,5,8
13513,JuniOste,80,42
13513,JuniOste,85,99
13513,JuniOste,90,358
13513,JuniOste,95,276
13513,JuniOste,100,446
13917,AbieLasi,50,206
13917,AbieLasi,60,39
13917,AbieLasi,65,89
13917,AbieLasi,70,188
13917,AbieLasi,75,102
13917,AbieLasi,80,168
13917,PiceEnge,85,242
13917,PiceEnge,90,336
13917,PiceEnge,95,643
13917,PiceEnge,100,1272
13917,PiceEnge,105,951
13917,PiceEnge,110,1587
13934,JuniOste,60,39
13934,JuniOste,90,248
13934,JuniOste,95,386
13934,AbieLasi,75,70
13934,AbieLasi,85,245
13934,PiceEnge,80,78
13934,PiceEnge,90,313
13934,PiceEnge,95,185
13934,PiceEnge,105,420
13934,PiceEnge,115,782
13934,PopuTrem,30,63
13934,PopuTrem,55,936
13934,PopuTrem,65,38
13934,PopuTrem,70,209
13934,PopuTrem,75,212
13934,PopuTrem,80,398
13934,PopuTrem,85,430
13934,PopuTrem,90,475
13934,PopuTrem,95,193
14014,JuniOste,20,33
14014,AbieLasi,60,23
14014,AbieLasi,85,123
14014,PiceEnge,50,140
14014,PiceEnge,75,55
14014,PiceEnge,80,161
14014,PiceEnge,85,132
14014,PiceEnge,90,171
14014,PiceEnge,95,271
14014,PopuTrem,90,278
14016,AbieLasi,25,32
14016,AbieLasi,70,124
14016,AbieLasi,80,687
14016,PiceEnge,100,557
14016,PseuMenz,35,76
14016,PseuMenz,40,122
14016,PseuMenz,60,175
14016,PseuMenz,65,649
14016,PseuMenz,70,333
14016,PseuMenz,75,1200
14016,PseuMenz,80,2138
14016,PseuMenz,85,2456
14016,PseuMenz,90,4268
14016,PseuMenz,100,1359
14016,PseuMenz,105,1688
14016,PopuTrem,65,561
14016,PopuTrem,70,264
14016,PopuTrem,75,300
14016,PopuTrem,80,612
14016,PopuTrem,85,623
3800,JuniMono,70,28
3800,JuniMono,85,162
3800,JuniMono,90,107
3800,JuniMono,105,248
3800,JuniMono,110,259
3826,JuniOste,75,174
3826,JuniOste,80,472
3826,AbieConc,60,49
3826,AbieConc,65,178
3826,AbieConc,70,94
3826,AbieConc,80,216
3826,AbieConc,90,1921
3826,AbieConc,95,827
3826,PinuPond,50,173
3826,PinuPond,55,54
3826,PinuPond,65,145
3826,PinuPond,70,574
3826,PinuPond,75,438
3826,PinuPond,80,962
3826,PinuPond,85,904
3826,PinuPond,90,577
3826,PinuPond,95,1095
3826,PinuPond,100,2199
3826,PinuPond,105,5272
3826,PseuMenz,60,50
3826,PseuMenz,65,53
3826,PseuMenz,70,117
3826,PseuMenz,75,395
3826,PseuMenz,80,461
3826,PseuMenz,90,315
3826,PseuMenz,95,1262
3826,PseuMenz,105,1370
3826,PopuTrem,70,108
3828,JuniDepp,65,15
3828,JuniDepp,95,167
3828,PinuPond,40,93
3828,PinuPond,45,306
3828,PinuPond,55,30
3828,PinuPond,60,136
3828,PinuPond,65,76
3828,PinuPond,70,189
3828,PinuPond,75,290
3873,JuniMono,75,30
3873,PinuEdul,5,11
3873,PinuEdul,60,56
3873,PinuEdul,155,108
3873,PinuEdul,180,331
3873,PinuEdul,185,350
3873,PinuPond,40,209
3873,PinuPond,60,30
3873,PinuPond,70,61
3873,PinuPond,95,676
3873,PinuPond,105,1857
3877,JuniOste,95,758
3877,AbieConc,45,206
3877,AbieConc,55,102
3877,AbieConc,60,235
3877,AbieConc,65,456
3877,AbieConc,70,616
3877,AbieConc,75,944
3877,AbieConc,80,815
3877,AbieConc,85,1024
3877,AbieConc,90,1473
3877,AbieConc,95,1598
3877,AbieConc,100,1242
3877,AbieConc,110,2713
3877,PseuMenz,60,43
3952,PinuPond,65,203
3952,PinuPond,70,303
3952,PinuPond,75,479
3952,PinuPond,80,667
3952,PinuPond,85,874
3952,PinuPond,95,1458
3952,PinuPond,105,7971
3952,PinuPond,110,7531
4047,JuniOste,85,577
4047,PinuPond,55,24
4047,PinuPond,65,83
4047,PinuPond,70,113
4047,PinuPond,75,723
4047,PinuPond,80,1197
4047,PinuPond,85,424
4047,QuerGamb,30,208
4047,QuerGamb,90,2670
4288,JuniOste,55,17
4288,JuniOste,65,97
4288,JuniOste,80,85
4288,JuniOste,85,135
4288,JuniOste,90,352
4288,JuniOste,95,490
4288,JuniOste,100,626
4288,JuniOste,105,835
4288,PinuEdul,155,105
4296,PinuPond,60,126
4296,PinuPond,70,143
4296,PinuPond,75,102
4296,PinuPond,80,547
4296,PinuPond,85,447
4296,PinuPond,90,2546
4296,PinuPond,95,964
4296,PinuPond,100,1052
4296,PinuPond,105,2571
4301,JuniOste,50,169
4301,JuniOste,60,18
4301,JuniOste,65,22
4301,PinuPond,55,44
4301,PinuPond,60,37
4301,PinuPond,65,60
4301,PinuPond,70,263
4301,PinuPond,75,140
4301,PinuPond,85,328
4301,PinuPond,90,513
4301,QuerGamb,10,82
4301,QuerGamb,20,261
4301,QuerGamb,25,451
4301,QuerGamb,30,852
4312,JuniOste,65,33
4312,JuniOste,75,85
4312,JuniOste,80,296
4312,JuniOste,85,736
4312,JuniOste,90,182
4312,JuniOste,95,270
4312,JuniOste,55,197
4312,JuniOste,75,78
4312,JuniOste,80,81
4312,JuniOste,85,111
4312,JuniOste,95,397
4312,JuniOste,105,657
4324,PinuPond,50,229
4324,PinuPond,70,509
4324,PinuPond,75,130
4324,PinuPond,85,1182
4324,PinuPond,90,1038
4324,PinuPond,95,1510
4326,JuniDepp,60,10
4326,JuniDepp,70,19
4326,JuniDepp,85,83
4326,JuniDepp,95,149
4326,PinuPond,105,1125
4357,JuniOste,55,31
