"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",11434,"AbieConc",55,7.7
"2",11434,"AbieConc",65,62.26
"3",11434,"AbieConc",70,168.19
"4",11434,"AbieConc",75,121.88
"5",11434,"AbieConc",80,223.85
"6",11434,"AbieConc",85,358.82
"7",11434,"AbieConc",90,726.33
"8",11434,"AbieConc",100,1618.54
"9",11434,"AbieConc",105,2179.76
"10",11434,"AbieConc",110,1308.45
"11",11434,"PseuMenz",125,3618.34
"12",11434,"PseuMenz",130,5256.35
"13",11434,"PopuTrem",110,906.95
"14",11447,"AbieConc",55,4.07
"15",11447,"AbieConc",60,15.84
"16",11447,"AbieConc",65,27.39
"17",11447,"AbieConc",70,425.92
"18",11447,"AbieConc",75,99.66
"19",11447,"AbieConc",80,944.02
"20",11447,"AbieConc",85,688.27
"21",11447,"AbieConc",90,1435.94
"22",11447,"AbieConc",95,975.48
"23",11447,"AbieConc",100,902.55
"24",11447,"PseuMenz",60,17.49
"25",11447,"PseuMenz",80,308.88
"26",11447,"PseuMenz",85,383.35
"27",11447,"PseuMenz",95,1208.57
"28",11447,"PseuMenz",100,1217.48
"29",11447,"PseuMenz",105,1308.89
"30",11447,"PopuTrem",65,24.86
"31",11447,"PopuTrem",80,168.74
"32",11447,"PopuTrem",90,421.19
"33",11448,"JuniOste",70,98.34
"34",11448,"PinuPond",45,152.57
"35",11448,"PinuPond",70,118.58
"36",11448,"PinuPond",85,26.29
"37",11448,"PseuMenz",55,406.45
"38",11448,"PseuMenz",70,63.69
"39",11448,"PseuMenz",80,187
"40",11448,"PseuMenz",85,1891.45
"41",11448,"PseuMenz",90,501.82
"42",11448,"PseuMenz",105,2227.83
"43",11448,"QuerGamb",55,329.45
"44",11448,"QuerGamb",70,51.04
"45",11448,"QuerGamb",95,172.81
"46",11490,"JuniOste",65,86.9
"47",11490,"AbieConc",20,27.83
"48",11490,"AbieConc",60,79.53
"49",11490,"AbieConc",75,150.37
"50",11490,"AbieConc",85,866.25
"51",11490,"AbieConc",95,1265.66
"52",11490,"PseuMenz",10,15.18
"53",11490,"PopuTrem",30,71.17
"54",11490,"PopuTrem",50,228.8
"55",11490,"PopuTrem",60,498.41
"56",11490,"PopuTrem",65,209.22
"57",11490,"PopuTrem",70,602.58
"58",11490,"PopuTrem",75,958.54
"59",11490,"PopuTrem",80,1567.06
"60",11490,"PopuTrem",85,451.99
"61",11490,"PopuTrem",90,153.78
"62",11505,"PinuPond",55,13.31
"63",11505,"PinuPond",60,37.4
"64",11505,"PinuPond",65,132.88
"65",11505,"PinuPond",70,358.71
"66",11505,"PinuPond",75,534.6
