"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"67",11505,"PinuPond",80,235.51
"68",11505,"PinuPond",85,379.39
"69",11505,"PinuPond",90,708.62
"70",11505,"PinuPond",95,878.46
"71",11626,"AbieConc",45,205.7
"72",11626,"PinuPond",55,77.88
"73",11626,"PinuPond",60,44.22
"74",11626,"PinuPond",70,162.8
"75",11626,"PinuPond",80,165.99
"76",11626,"PinuPond",90,679.8
"77",11626,"PinuPond",95,792.33
"78",11626,"PinuPond",100,2388.65
"79",11626,"PseuMenz",65,100.76
"80",11626,"PseuMenz",70,386.98
"81",11626,"PseuMenz",75,96.25
"82",11626,"PseuMenz",80,357.39
"83",11626,"PseuMenz",85,883.74
"84",11626,"PseuMenz",90,690.91
"85",11626,"PseuMenz",100,538.56
"86",11626,"PseuMenz",105,1722.82
"87",11626,"PseuMenz",110,1262.69
"88",11626,"PseuMenz",115,4374.04
"89",11863,"AbieLasi",5,20.35
"90",11863,"AbieLasi",10,10.67
"91",11863,"AbieLasi",20,55.66
"92",11863,"AbieLasi",25,117.7
"93",11863,"AbieLasi",30,54.67
"94",11863,"AbieLasi",40,213.4
"95",11863,"AbieLasi",50,191.95
"96",11863,"AbieLasi",60,64.46
"97",11863,"AbieLasi",65,313.94
"98",11863,"AbieLasi",70,480.92
"99",11863,"AbieLasi",75,535.48
"100",11863,"AbieLasi",80,324.39
"101",11863,"AbieLasi",85,280.06
"102",11863,"AbieLasi",90,839.3
"103",11863,"AbieLasi",95,551.98
"104",11863,"AbieLasi",100,1820.28
"105",11863,"AbieLasi",105,1063.26
"106",11863,"AbieLasi",110,1076.68
"107",11863,"PopuTrem",40,143.11
"108",11863,"PopuTrem",65,9.24
"109",11863,"PopuTrem",80,136.4
"110",11863,"PopuTrem",90,315.48
"111",11863,"PopuTrem",95,112.64
"112",11863,"PopuTrem",100,418.66
"113",11863,"PopuTrem",105,616.22
"114",11863,"PopuTrem",110,648.23
"115",11940,"PopuTrem",65,38.06
"116",11940,"PopuTrem",70,168.74
"117",11940,"PopuTrem",75,253.99
"118",11940,"PopuTrem",80,329.67
"119",11940,"PopuTrem",90,160.6
"120",12168,"PopuTrem",65,22.11
"121",12168,"PopuTrem",70,159.83
"122",12168,"PopuTrem",75,110
"123",12168,"PopuTrem",80,843.04
"124",12168,"PopuTrem",85,1291.62
"125",12168,"PopuTrem",90,847.88
"126",12168,"PopuTrem",95,110.11
"127",12168,"PopuTrem",105,543.29
"128",12327,"AbieLasi",45,131.45
"129",12327,"AbieLasi",55,336.82
"130",12327,"AbieLasi",60,22.77
"131",12327,"AbieLasi",65,19.36
"132",12327,"AbieLasi",70,133.43
"133",12327,"AbieLasi",75,76.78
"134",12327,"AbieLasi",80,142.67
"135",12327,"AbieLasi",90,340.12
"136",12327,"PopuTrem",65,NA
"137",12327,"PopuTrem",70,321.86
"138",12327,"PopuTrem",75,257.07
"139",12327,"PopuTrem",80,974.38
"140",12327,"PopuTrem",85,495.88
"141",12327,"PopuTrem",90,1553.42
"142",12327,"PopuTrem",95,NA
"143",12327,"PopuTrem",100,3812.16
"144",12386,"PiceEnge",130,660.11
"145",12386,"PopuTrem",45,169.18
"146",12386,"PopuTrem",55,637.34
"147",12386,"PopuTrem",60,851.62
"148",12386,"PopuTrem",65,140.47
"149",12386,"PopuTrem",70,506.33
"150",12386,"PopuTrem",75,535.37
"151",12386,"PopuTrem",80,418.33
"152",12386,"PopuTrem",85,1145.1
"153",12386,"PopuTrem",90,318.89
"154",12386,"PopuTrem",95,267.63
"155",12386,"PopuTrem",105,1049.62
"156",12479,"AbieLasi",70,49.5
"157",12479,"AbieLasi",120,NA
"158",12479,"PiceEnge",95,333.41
"159",12479,"PiceEnge",105,510.18
"160",12479,"PiceEnge",115,4343.9
"161",12479,"PiceEnge",120,3321.67
"162",12479,"PiceEnge",125,2988.48
"163",12479,"PiceEnge",130,NA
"164",12482,"AbieConc",30,54.67
"165",12482,"AbieConc",65,136.73
"166",12482,"AbieConc",70,237.05
"167",12482,"AbieConc",75,348.26
"168",12482,"AbieConc",80,1494.24
"169",12482,"AbieConc",90,3391.08
"170",12482,"AbieConc",95,962.72
"171",12482,"PopuTrem",60,402.6
"172",12482,"PopuTrem",65,103.4
"173",12482,"PopuTrem",70,167.2
"174",12482,"PopuTrem",75,86.35
"175",12482,"PopuTrem",80,104.72
"176",12482,"PopuTrem",85,352.22
"177",12482,"PopuTrem",95,297.77
"178",12482,"PopuTrem",100,583
"179",12482,"PopuTrem",105,535.48
"180",12482,"PopuTrem",110,545.93
"181",12482,"QuerGamb",50,266.31
"182",12482,"QuerGamb",55,278.52
"183",12482,"QuerGamb",60,698.94
"184",12482,"QuerGamb",65,189.75
"185",12482,"QuerGamb",70,407.99
"186",12482,"QuerGamb",75,165.88
"187",12635,"JuniOste",5,8.58
"188",12635,"JuniOste",15,22.77
"189",12635,"JuniOste",40,175.67
"190",12635,"JuniOste",55,14.08
"191",12635,"JuniOste",60,231.99
"192",12635,"JuniOste",65,504.57
"193",12635,"JuniOste",70,522.83
"194",12635,"JuniOste",75,269.28
"195",12635,"JuniOste",80,349.14
"196",12635,"AbieLasi",10,13.42
"197",12635,"AbieLasi",20,51.48
"198",12635,"AbieLasi",35,83.93
"199",12635,"AbieLasi",40,193.93
"200",12635,"AbieLasi",45,166.1
"201",12635,"AbieLasi",55,283.14
"202",12635,"AbieLasi",70,51.59
"203",12635,"AbieLasi",75,88
"204",12635,"AbieLasi",85,137.06
"205",12635,"PiceEnge",25,34.32
"206",12635,"PiceEnge",35,60.83
"207",12635,"PiceEnge",70,36.08
"208",12635,"PiceEnge",90,138.16
"209",12673,"JuniOste",70,10.45
"210",12673,"JuniOste",85,507.65
"211",12673,"JuniOste",90,586.19
"212",12673,"JuniOste",95,1096.48
"213",12673,"JuniOste",100,1470.7
"214",12673,"JuniOste",105,1281.61
"215",12709,"JuniOste",10,16.17
"216",12709,"JuniOste",60,96.69
"217",12709,"JuniOste",65,38.94
"218",12709,"JuniOste",80,143.77
"219",12709,"JuniOste",85,529.76
"220",12709,"JuniOste",90,274.45
"221",12709,"JuniOste",100,522.61
"222",12709,"PinuEdul",60,30.69
"223",12709,"PinuEdul",65,259.71
"224",12709,"PinuEdul",70,115.94
"225",12709,"PinuEdul",75,99.55
"226",12709,"PinuEdul",85,1049.18
"227",12709,"PinuEdul",90,1945.68
"228",12709,"PinuEdul",105,1808.07
"229",12742,"AbieConc",10,13.42
"230",12742,"AbieConc",45,178.75
"231",12742,"AbieConc",80,166.1
"232",12742,"AbieConc",85,1525.37
"233",12742,"AbieConc",90,1393.7
"234",12742,"AbieConc",95,845.57
"235",12742,"AbieConc",100,1028.17
"236",12742,"PinuPond",75,242.66
"237",12742,"PinuPond",80,337.92
"238",12742,"PinuPond",85,1037.19
"239",12742,"PinuPond",90,1334.52
"240",12742,"PinuPond",100,1267.64
"241",12742,"PopuTrem",70,46.53
"242",12742,"PopuTrem",90,263.12
"243",12742,"QuerGamb",5,28.71
"244",12742,"QuerGamb",35,129.03
"245",12742,"QuerGamb",40,147.51
"246",12742,"QuerGamb",60,356.18
"247",12777,"AbieLasi",60,44.33
"248",12777,"AbieLasi",65,88.66
"249",12777,"AbieLasi",70,199.21
"250",12777,"AbieLasi",75,124.85
"251",12777,"AbieLasi",80,308.22
"252",12777,"AbieLasi",85,328.35
"253",12777,"AbieLasi",100,490.27
"254",12777,"PiceEnge",60,258.72
"255",12777,"PiceEnge",65,333.74
"256",12777,"PiceEnge",100,411.29
"257",12777,"PiceEnge",105,694.98
"258",12777,"PiceEnge",110,784.96
"259",12777,"PiceEnge",115,1083.06
"260",12777,"PiceEnge",125,2033.9
"261",12777,"PopuTrem",65,54.56
"262",12777,"PopuTrem",70,308.44
"263",12777,"PopuTrem",75,441.76
"264",12777,"PopuTrem",80,1571.02
"265",12777,"PopuTrem",85,2223.1
"266",12777,"PopuTrem",90,2036.21
"267",12777,"PopuTrem",95,2150.72
"268",12777,"PopuTrem",100,466.29
"269",12777,"PopuTrem",105,1602.04
"270",12777,"PopuTrem",115,1340.13
"271",12932,"JuniOste",85,95.59
"272",12932,"PinuEdul",5,10.67
"273",12932,"PinuEdul",35,65.12
"274",12932,"PinuEdul",45,130.02
"275",12932,"PinuEdul",65,47.08
"276",12932,"PinuEdul",70,67.76
"277",12932,"PinuEdul",75,81.62
"278",12932,"PinuEdul",80,297
"279",12932,"PinuPond",10,21.89
"280",12932,"PinuPond",25,32.34
"281",12932,"PinuPond",60,30.58
"282",12932,"PinuPond",75,292.05
"283",12932,"QuerGamb",5,52.14
"284",12932,"QuerGamb",10,73.92
"285",12932,"QuerGamb",20,52.03
"286",12932,"QuerGamb",75,15.73
"287",12943,"PinuEdul",60,59.07
"288",12943,"PinuEdul",65,22.88
"289",12943,"PinuPond",55,105.82
"290",12943,"PinuPond",60,80.3
"291",12943,"PinuPond",65,562.32
"292",12943,"PinuPond",70,826.87
"293",12943,"PinuPond",75,1079.76
"294",12943,"PinuPond",80,714.67
"295",12943,"PinuPond",90,431.53
"296",12943,"PseuMenz",60,26.07
"297",12943,"PseuMenz",75,99.11
"298",12943,"QuerGamb",5,23.43
"299",12943,"QuerGamb",15,45.76
"300",12943,"QuerGamb",20,123.75
"301",12943,"QuerGamb",30,95.04
"302",12943,"QuerGamb",35,129.03
"303",12943,"QuerGamb",40,166.98
"304",12943,"QuerGamb",55,303.49
"305",13204,"AbieConc",80,223.08
"306",13204,"AbieConc",85,390.17
"307",13204,"PiceEnge",80,70.73
"308",13204,"PiceEnge",85,117.26
"309",13204,"PiceEnge",125,2796.64
"310",13204,"PseuMenz",110,1927.31
"311",13204,"PopuTrem",65,84.37
"312",13204,"PopuTrem",70,584.43
"313",13204,"PopuTrem",75,1470.48
"314",13204,"PopuTrem",80,1320.44
"315",13204,"PopuTrem",85,5874.11
"316",13204,"PopuTrem",90,6646.64
"317",13204,"PopuTrem",95,2409.66
"318",13204,"PopuTrem",100,5237.98
"319",13204,"PopuTrem",105,755.7
"320",13378,"JuniOste",70,37.73
"321",13378,"JuniOste",85,188.54
"322",13378,"JuniOste",95,240.68
"323",13378,"PinuPond",105,2093.96
"324",13378,"QuerGamb",5,23.43
"325",13378,"QuerGamb",10,113.74
"326",13378,"QuerGamb",20,52.03
"327",13378,"QuerGamb",25,455.73
"328",13378,"QuerGamb",30,570.35
"329",13378,"QuerGamb",35,129.03
"330",13378,"QuerGamb",40,147.51
"331",13378,"QuerGamb",45,364.43
"332",13378,"QuerGamb",70,25.19
"333",13513,"JuniOste",5,7.59
"334",13513,"JuniOste",65,13.31
"335",13513,"JuniOste",75,32.45
"336",13513,"JuniOste",80,42.13
"337",13513,"JuniOste",85,99.33
"338",13513,"JuniOste",90,358.16
"339",13513,"JuniOste",95,275.66
"340",13513,"JuniOste",100,445.5
"341",13917,"AbieLasi",50,205.7
"342",13917,"AbieLasi",60,38.5
"343",13917,"AbieLasi",65,138.6
"344",13917,"AbieLasi",70,187.88
"345",13917,"AbieLasi",75,101.64
"346",13917,"AbieLasi",80,168.19
"347",13917,"PiceEnge",85,241.78
"348",13917,"PiceEnge",90,336.49
"349",13917,"PiceEnge",95,642.51
"350",13917,"PiceEnge",100,1271.6
"351",13917,"PiceEnge",105,996.6
"352",13917,"PiceEnge",110,1586.86
"353",13917,"PiceEnge",115,28.71
"354",13934,"JuniOste",60,39.05
"355",13934,"JuniOste",75,78.1
"356",13934,"JuniOste",90,627
"357",13934,"JuniOste",95,661.54
"358",13934,"JuniOste",100,354.09
"359",13934,"AbieLasi",120,244.64
"360",13934,"AbieLasi",75,70.18
"361",13934,"PiceEnge",80,78.1
"362",13934,"PiceEnge",90,313.39
"363",13934,"PiceEnge",95,185.46
"364",13934,"PiceEnge",105,420.31
"365",13934,"PiceEnge",115,782.43
"366",13934,"PopuTrem",30,63.14
"367",13934,"PopuTrem",55,936.43
"368",13934,"PopuTrem",65,51.81
"369",13934,"PopuTrem",70,252.78
"370",13934,"PopuTrem",75,312.4
"371",13934,"PopuTrem",80,428.67
"372",13934,"PopuTrem",85,430.1
"373",13934,"PopuTrem",90,626.45
"374",13934,"PopuTrem",95,192.83
"375",14014,"JuniOste",20,32.56
"376",14014,"AbieLasi",60,40.15
"377",14014,"AbieLasi",70,140.03
"378",14014,"AbieLasi",85,122.87
"379",14014,"PiceEnge",50,140.36
"380",14014,"PiceEnge",75,55.11
"381",14014,"PiceEnge",80,160.93
"382",14014,"PiceEnge",85,132.11
"383",14014,"PiceEnge",90,170.83
"384",14014,"PiceEnge",95,523.82
"385",14014,"PopuTrem",90,277.97
"386",14016,"AbieLasi",25,32.34
"387",14016,"AbieLasi",70,124.41
"388",14016,"AbieLasi",80,686.62
"389",14016,"PiceEnge",100,557.04
"390",14016,"PseuMenz",35,75.9
"391",14016,"PseuMenz",40,122.21
"392",14016,"PseuMenz",60,215.6
"393",14016,"PseuMenz",65,649.33
"394",14016,"PseuMenz",70,391.49
"395",14016,"PseuMenz",75,1199.99
"396",14016,"PseuMenz",80,2138.29
"397",14016,"PseuMenz",85,2455.97
"398",14016,"PseuMenz",90,4267.89
"399",14016,"PseuMenz",100,1359.16
"400",14016,"PseuMenz",105,1687.95
"401",14016,"PopuTrem",65,612.48
"402",14016,"PopuTrem",70,388.74
"403",14016,"PopuTrem",75,299.64
"404",14016,"PopuTrem",80,611.82
"405",14016,"PopuTrem",85,622.93
"406",3800,"JuniOste",70,28.49
"407",3800,"JuniOste",85,161.7
"408",3800,"JuniOste",90,106.92
"409",3800,"JuniOste",100,248.05
"410",3800,"JuniOste",110,258.72
"411",3826,"JuniOste",75,173.91
"412",3826,"JuniOste",80,472.12
"413",3826,"AbieConc",60,49.28
"414",3826,"AbieConc",65,178.2
"415",3826,"AbieConc",70,93.94
"416",3826,"AbieConc",80,215.6
"417",3826,"AbieConc",90,1921.37
"418",3826,"AbieConc",95,826.98
"419",3826,"PinuPond",50,172.7
"420",3826,"PinuPond",55,53.9
"421",3826,"PinuPond",65,NA
"422",3826,"PinuPond",70,718.3
"423",3826,"PinuPond",75,437.69
"424",3826,"PinuPond",80,961.62
"425",3826,"PinuPond",85,904.2
"426",3826,"PinuPond",90,576.84
"427",3826,"PinuPond",95,1094.83
"428",3826,"PinuPond",100,2199.45
"429",3826,"PinuPond",105,5272.3
"430",3826,"PseuMenz",60,49.5
"431",3826,"PseuMenz",65,52.58
"432",3826,"PseuMenz",70,116.82
"433",3826,"PseuMenz",75,395.12
"434",3826,"PseuMenz",80,460.68
"435",3826,"PseuMenz",90,315.15
"436",3826,"PseuMenz",95,1262.14
"437",3826,"PseuMenz",105,1370.16
"438",3826,"PopuTrem",70,108.35
"439",3826,"PopuTrem",80,103.07
"440",3826,"PopuTrem",90,210.76
"441",3826,"PopuTrem",95,164.12
"442",3828,"JuniOste",65,14.63
"443",3828,"JuniOste",95,167.09
"444",3828,"PinuPond",40,93.39
"445",3828,"PinuPond",45,305.58
"446",3828,"PinuPond",55,30.14
"447",3828,"PinuPond",60,136.07
"448",3828,"PinuPond",65,76.34
"449",3828,"PinuPond",70,188.65
"450",3828,"PinuPond",75,289.52
"451",3873,"JuniOste",75,29.7
"452",3873,"PinuEdul",5,10.67
"453",3873,"PinuEdul",30,56.1
"454",3873,"PinuEdul",80,107.69
"455",3873,"PinuEdul",95,681.12
"456",3873,"PinuPond",40,209.44
"457",3873,"PinuPond",60,30.14
"458",3873,"PinuPond",70,60.83
"459",3873,"PinuPond",95,675.62
"460",3873,"PinuPond",105,1857.02
"461",3877,"JuniOste",95,758.23
"462",3877,"AbieConc",45,205.7
"463",3877,"AbieConc",55,128.04
"464",3877,"AbieConc",60,246.95
"465",3877,"AbieConc",65,458.26
"466",3877,"AbieConc",70,616.44
"467",3877,"AbieConc",75,944.24
"468",3877,"AbieConc",80,814.66
"469",3877,"AbieConc",85,1023.55
"470",3877,"AbieConc",90,1786.18
"471",3877,"AbieConc",95,1597.75
"472",3877,"AbieConc",100,1242.34
"473",3877,"AbieConc",105,1231.56
"474",3877,"AbieConc",110,5063.96
"475",3877,"PseuMenz",60,43.34
"476",3952,"PinuPond",65,202.73
"477",3952,"PinuPond",70,303.49
"478",3952,"PinuPond",75,646.8
"479",3952,"PinuPond",80,666.6
"480",3952,"PinuPond",85,874.17
"481",3952,"PinuPond",95,1457.83
"482",3952,"PinuPond",105,7970.6
"483",3952,"PinuPond",110,7530.71
"484",4047,"JuniOste",85,576.73
"485",4047,"PinuPond",55,24.31
"486",4047,"PinuPond",65,83.16
"487",4047,"PinuPond",70,113.08
"488",4047,"PinuPond",75,722.59
"489",4047,"PinuPond",80,1196.8
"490",4047,"PinuPond",85,423.83
"491",4047,"QuerGamb",85,208.45
"492",4047,"QuerGamb",115,396.22
"493",4047,"QuerGamb",135,2669.7
"494",4288,"JuniOste",55,16.83
"495",4288,"JuniOste",65,97.02
"496",4288,"JuniOste",80,85.25
"497",4288,"JuniOste",85,134.53
"498",4288,"JuniOste",90,351.78
"499",4288,"JuniOste",95,489.94
"500",4288,"JuniOste",100,625.9
"501",4288,"JuniOste",105,835.34
"502",4288,"PinuEdul",80,104.61
"503",4288,"PinuEdul",90,280.94
"504",4288,"PinuEdul",105,851.62
"505",4296,"PinuPond",60,126.17
"506",4296,"PinuPond",70,142.89
"507",4296,"PinuPond",75,102.19
"508",4296,"PinuPond",80,546.59
"509",4296,"PinuPond",85,446.6
"510",4296,"PinuPond",90,2545.73
"511",4296,"PinuPond",95,964.48
"512",4296,"PinuPond",100,1051.82
"513",4296,"PinuPond",105,2571.25
"514",4301,"JuniOste",50,168.96
"515",4301,"JuniOste",60,18.26
"516",4301,"JuniOste",65,21.78
"517",4301,"PinuPond",55,44.44
"518",4301,"PinuPond",60,36.52
"519",4301,"PinuPond",65,60.17
"520",4301,"PinuPond",70,263.23
"521",4301,"PinuPond",75,139.59
"522",4301,"PinuPond",85,327.69
"523",4301,"PinuPond",90,513.37
"524",4301,"QuerGamb",5,23.43
"525",4301,"QuerGamb",20,58.52
"526",4301,"QuerGamb",65,207.46
"527",4301,"QuerGamb",70,189.42
"528",4301,"QuerGamb",75,275.55
"529",4301,"QuerGamb",80,524.26
"530",4301,"QuerGamb",85,622.71
"531",4301,"QuerGamb",90,NA
"532",4312,"JuniOste",65,32.78
"533",4312,"JuniOste",75,84.92
"534",4312,"JuniOste",80,296.34
"535",4312,"JuniOste",85,735.68
"536",4312,"JuniOste",90,182.27
"537",4312,"JuniOste",95,270.27
"538",4312,"JuniOste",100,465.96
"539",4312,"JuniOste",55,197.23
"540",4312,"JuniOste",75,78.1
"541",4312,"JuniOste",80,81.29
"542",4312,"JuniOste",85,110.55
"543",4312,"JuniOste",95,396.77
"544",4312,"JuniOste",105,657.14
"545",4324,"PinuPond",50,229.46
"546",4324,"PinuPond",65,74.14
"547",4324,"PinuPond",70,509.41
"548",4324,"PinuPond",75,129.58
"549",4324,"PinuPond",85,1181.73
"550",4324,"PinuPond",90,1037.85
"551",4324,"PinuPond",95,1510.19
"552",4326,"JuniOste",60,9.57
"553",4326,"JuniOste",70,18.7
"554",4326,"JuniOste",85,83.16
"555",4326,"JuniOste",95,148.72
"556",4326,"PinuPond",105,1124.75
"557",4357,"JuniOste",55,31.46
"558",4357,"PinuEdul",70,70.84
"559",4357,"PinuPond",20,21.78
"560",4357,"PinuPond",45,116.71
"561",4357,"PinuPond",60,86.13
"562",4357,"PinuPond",65,376.86
"563",4357,"PinuPond",70,497.64
"564",4357,"PinuPond",75,340.89
"565",4357,"PinuPond",80,367.73
"566",4357,"PinuPond",90,693.88
"567",4357,"PinuPond",100,1097.47
"568",4357,"PinuPond",105,2347.07
"569",4357,"QuerGamb",65,32.23
"570",4357,"QuerGamb",70,41.25
"571",4375,"JuniOste",85,204.93
"572",4375,"JuniOste",90,211.2
"573",4375,"JuniOste",95,247.17
"574",4375,"JuniOste",110,655.93
"575",4375,"JuniOste",120,1493.69
"576",4375,"PinuEdul",55,48.29
"577",4375,"PinuEdul",60,22.22
"578",4375,"PinuEdul",65,88.55
"579",4375,"PinuEdul",70,372.02
"580",4375,"PinuEdul",75,421.52
"581",4375,"PinuEdul",80,110.66
"582",4375,"PinuEdul",90,848.87
"583",4391,"JuniOste",60,14.08
"584",4391,"JuniOste",80,52.69
"585",4391,"JuniOste",90,125.95
"586",4391,"JuniOste",95,403.26
"587",4391,"JuniOste",100,286.77
"588",4391,"PinuEdul",5,10.67
"589",4391,"PinuEdul",15,22.22
"590",4391,"PinuEdul",20,28.71
"591",4391,"PinuEdul",25,39.6
"592",4391,"PinuEdul",35,69.85
"593",4391,"PinuEdul",55,182.82
"594",4391,"PinuEdul",60,52.91
"595",4391,"PinuEdul",65,110.11
"596",4391,"PinuEdul",70,NA
"597",4391,"PinuEdul",80,121
"598",4391,"PinuEdul",95,406.34
"599",4395,"JuniOste",65,19.03
"600",4395,"JuniOste",75,39.71
"601",4395,"PinuPond",75,106.26
"602",4395,"PinuPond",80,204.82
"603",4395,"PinuPond",90,578.82
"604",4395,"PinuPond",95,2653.97
"605",4395,"QuerGamb",5,52.14
"606",4395,"QuerGamb",15,45.76
"607",4395,"QuerGamb",20,175.67
"608",4395,"QuerGamb",40,157.08
"609",4395,"QuerGamb",50,462.44
"610",4395,"QuerGamb",60,NA
"611",4395,"QuerGamb",65,2.31
"612",4395,"QuerGamb",70,64.24
"613",4395,"QuerGamb",75,28.93
"614",4395,"QuerGamb",105,288.86
"615",4401,"JuniOste",45,112.2
"616",4401,"JuniOste",55,16.06
"617",4401,"JuniOste",60,9.35
"618",4401,"JuniOste",65,13.2
"619",4401,"JuniOste",85,163.35
"620",4401,"JuniOste",90,384.67
"621",4401,"JuniOste",95,266.09
"622",4401,"JuniOste",85,376.64
"623",4401,"JuniOste",95,767.25
"624",4401,"JuniOste",100,373.34
"625",4401,"JuniOste",115,1191.19
"626",4405,"JuniOste",75,152.13
"627",4405,"JuniOste",80,125.18
"628",4405,"JuniOste",85,243.32
"629",4405,"JuniOste",90,164.89
"630",4405,"PinuPond",65,54.78
"631",4405,"PinuPond",70,203.94
"632",4405,"PinuPond",75,NA
"633",4405,"PinuPond",85,335.28
"634",4405,"PinuPond",90,447.7
"635",4405,"PinuPond",95,565.51
"636",4431,"JuniOste",60,26.18
"637",4431,"JuniOste",65,39.27
"638",4431,"JuniOste",70,51.37
"639",4431,"JuniOste",75,133.32
"640",4431,"JuniOste",85,120.56
"641",4431,"JuniOste",90,225.83
"642",4431,"JuniOste",95,803.44
"643",4433,"JuniOste",65,59.29
"644",4433,"PinuPond",40,108.57
"645",4433,"PinuPond",60,NA
"646",4433,"PinuPond",65,97.68
"647",4433,"PinuPond",75,673.97
"648",4433,"PinuPond",80,239.14
"649",4433,"PinuPond",85,379.94
"650",4433,"PinuPond",90,1039.28
"651",4433,"PinuPond",100,1195.92
"652",4433,"PinuPond",110,9290.6
"653",4433,"PseuMenz",75,83.71
"654",4433,"PseuMenz",105,1216.05
"655",4433,"PopuTrem",70,13.75
"656",4433,"PopuTrem",75,124.96
"657",4433,"PopuTrem",80,NA
"658",4433,"PopuTrem",85,NA
"659",4433,"PopuTrem",90,NA
"660",4433,"PopuTrem",95,643.72
"661",4433,"PopuTrem",100,198.11
"662",4433,"PopuTrem",105,415.14
"663",4433,"PopuTrem",110,334.51
"664",4477,"JuniOste",65,31.02
"665",4477,"JuniOste",60,20.57
"666",4477,"JuniOste",65,54.34
"667",4477,"JuniOste",70,94.05
"668",4477,"JuniOste",75,106.81
"669",4477,"JuniOste",90,146.3
"670",4477,"JuniOste",100,149.6
"671",4477,"PinuEdul",60,45.43
"672",4477,"PinuEdul",70,165
"673",4477,"PinuEdul",75,419.76
"674",4477,"PinuEdul",85,535.81
"675",4477,"PinuEdul",90,939.18
"676",4477,"PinuEdul",100,596.86
"677",4480,"PinuPond",50,172.7
"678",4480,"PinuPond",55,78.87
"679",4480,"PinuPond",60,28.93
"680",4480,"PinuPond",65,101.97
"681",4480,"PinuPond",70,229.13
"682",4480,"PinuPond",75,429
"683",4480,"PinuPond",80,1052.37
"684",4480,"PinuPond",85,421.63
"685",4480,"PinuPond",90,469.59
"686",4480,"PinuPond",110,6433.57
"687",4509,"JuniOste",95,288.31
"688",4509,"JuniOste",55,197.23
"689",4509,"JuniOste",60,28.49
"690",4509,"JuniOste",65,NA
"691",4509,"JuniOste",70,42.35
"692",4509,"JuniOste",80,196.9
"693",4509,"JuniOste",85,257.62
"694",4509,"JuniOste",90,227.37
"695",4509,"JuniOste",45,123.97
"696",4509,"JuniOste",80,80.96
"697",4509,"PinuEdul",70,77.22
"698",4509,"PinuPond",60,45.87
"699",4509,"PinuPond",65,51.04
"700",4509,"PinuPond",70,171.16
"701",4509,"PinuPond",75,92.18
"702",4509,"PinuPond",80,103.29
"703",4509,"PinuPond",95,2011.02
"704",4509,"QuerGamb",5,28.71
"705",4509,"QuerGamb",20,65.23
"706",4509,"QuerGamb",65,88.99
"707",4509,"QuerGamb",70,92.07
"708",4509,"QuerGamb",75,40.48
"709",4509,"QuerGamb",80,54.01
"710",4512,"AbieConc",55,49.61
