"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",11434,"AbieConc",70,168.19
"2",11434,"AbieConc",75,121.88
"3",11434,"AbieConc",80,223.85
"4",11434,"AbieConc",85,358.82
"5",11434,"AbieConc",90,726.33
"6",11434,"AbieConc",100,1618.54
"7",11434,"AbieConc",105,2179.76
"8",11434,"PopuTrem",110,906.95
"9",11447,"AbieConc",55,4.07
"10",11447,"AbieConc",60,15.84
"11",11447,"AbieConc",65,27.39
"12",11447,"AbieConc",70,261.03
"13",11447,"AbieConc",75,99.66
"14",11447,"AbieConc",80,944.02
"15",11447,"AbieConc",85,688.27
"16",11447,"AbieConc",90,1435.94
"17",11447,"AbieConc",95,975.48
"18",11447,"AbieConc",100,902.55
"19",11447,"PseuMenz",60,17.49
"20",11447,"PseuMenz",80,308.88
"21",11447,"PseuMenz",85,383.35
"22",11447,"PseuMenz",95,1208.57
"23",11447,"PseuMenz",100,1217.48
"24",11447,"PseuMenz",105,1308.89
"25",11447,"PopuTrem",65,24.86
"26",11447,"PopuTrem",80,168.74
"27",11447,"PopuTrem",90,421.19
"28",11448,"JuniMono",70,98.34
"29",11448,"PinuPond",45,152.57
"30",11448,"PinuPond",70,118.58
"31",11448,"PseuMenz",55,406.45
"32",11448,"PseuMenz",70,63.69
"33",11448,"PseuMenz",80,187
"34",11448,"PseuMenz",85,1891.45
"35",11448,"PseuMenz",90,501.82
"36",11448,"PseuMenz",105,2227.83
"37",11448,"QuerGamb",20,329.45
"38",11448,"QuerGamb",25,51.04
"39",11448,"QuerGamb",35,172.81
"40",11490,NA,65,86.9
"41",11490,"AbieConc",20,27.83
"42",11490,"AbieConc",60,79.53
"43",11490,"AbieConc",75,150.37
"44",11490,"AbieConc",85,866.25
"45",11490,"AbieConc",95,1265.66
"46",11490,"PseuMenz",10,15.18
"47",11490,"PopuTrem",30,71.17
"48",11490,"PopuTrem",50,228.8
"49",11490,"PopuTrem",60,498.41
"50",11490,"PopuTrem",65,137.72
"51",11490,"PopuTrem",70,495.88
"52",11490,"PopuTrem",75,890.78
"53",11490,"PopuTrem",80,1204.5
"54",11490,"PopuTrem",85,451.99
"55",11490,"PopuTrem",90,153.78
"56",11505,"PinuPond",55,13.31
"57",11505,"PinuPond",60,19.36
"58",11505,"PinuPond",65,74.8
