SpeciesCode,AgeDBH,MaximumBarkThickness
AbieConc,50,2.51
AbieLasi,50,1.44
JuniOste,80,1.44
PiceEnge,80,1.79
PicePung,80,1.81
PinuEdul,80,1.1
PinuPond,80,3.18
PopuTrem,80,3.31
PseuMenz,80,1.72
QuerGamb,60,1.54
