"MapCode","SpeciesName","CohortAge","CohortBiomass"
630,"AbieConc",65,52
630,"AbieConc",70,237
630,"AbieConc",85,582
630,"AbieConc",105,726
630,"AbieConc",125,1618
630,"AbieConc",140,2179
630,"PopuTrem",115,906
638,"AbieConc",55,19
638,"AbieConc",65,220
638,"AbieConc",70,167
638,"AbieConc",80,457
638,"AbieConc",85,486
638,"AbieConc",90,688
638,"AbieConc",95,451
638,"AbieConc",100,984
638,"AbieConc",115,975
638,"AbieConc",125,902
638,"PseuMenz",50,17
638,"PseuMenz",65,150
638,"PseuMenz",70,157
638,"PseuMenz",80,383
638,"PseuMenz",90,1208
638,"PseuMenz",105,1217
638,"PseuMenz",110,1308
638,"PopuTrem",60,24
638,"PopuTrem",70,101
638,"PopuTrem",75,67
638,"PopuTrem",80,145
638,"PopuTrem",85,275
639,"JuniOste",85,28
639,"JuniOste",90,69
639,"PinuPond",30,152
639,"PinuPond",60,118
639,"PseuMenz",50,406
639,"PseuMenz",55,63
639,"PseuMenz",65,187
639,"PseuMenz",75,1891
639,"PseuMenz",85,501
639,"PseuMenz",110,1096
639,"PseuMenz",115,1131
639,"QuerGamb",20,329
639,"QuerGamb",25,51
639,"QuerGamb",35,172
660,"JuniOste",55,86
660,"AbieConc",35,27
660,"AbieConc",55,79
660,"AbieConc",70,150
660,"AbieConc",85,403
660,"AbieConc",90,462
660,"AbieConc",115,1265
660,"PseuMenz",30,15
660,"PopuTrem",45,71
660,"PopuTrem",55,228
660,"PopuTrem",60,636
660,"PopuTrem",65,552
660,"PopuTrem",70,1202
660,"PopuTrem",75,836
660,"PopuTrem",80,451
660,"PopuTrem",85,153
670,"PinuPond",40,32
670,"PinuPond",50,74
670,"PinuPond",55,144
670,"PinuPond",60,125
670,"PinuPond",65,534
670,"PinuPond",70,235
670,"PinuPond",90,379
670,"PinuPond",100,708
670,"PinuPond",110,878
676,"AbieConc",45,205
676,"PinuPond",40,57
676,"PinuPond",45,44
676,"PinuPond",55,76
676,"PinuPond",60,86
676,"PinuPond",70,165
676,"PinuPond",100,679
676,"PinuPond",115,792
676,"PinuPond",130,1079
676,"PinuPond",135,1309
676,"PseuMenz",55,158
676,"PseuMenz",60,250
676,"PseuMenz",65,96
676,"PseuMenz",70,357
676,"PseuMenz",75,696
676,"PseuMenz",80,324
676,"PseuMenz",85,366
676,"PseuMenz",100,538
676,"PseuMenz",105,894
676,"PseuMenz",145,4374
699,"AbieLasi",30,31
699,"AbieLasi",35,228
699,"AbieLasi",40,213
699,"AbieLasi",45,191
699,"AbieLasi",55,292
699,"AbieLasi",60,217
