MapCode,SpeciesName,CohortAge,CohortBiomass
11434,AbieConc,65,52
11434,AbieConc,70,238
11434,AbieConc,85,583
11434,AbieConc,105,726
11434,AbieConc,125,1619
11434,AbieConc,140,2180
11434,PopuTrem,115,907
11447,AbieConc,55,20
11447,AbieConc,65,220
11447,AbieConc,70,168
11447,AbieConc,80,457
11447,AbieConc,85,487
11447,AbieConc,90,688
11447,AbieConc,95,452
11447,AbieConc,100,984
11447,AbieConc,115,975
11447,AbieConc,125,903
11447,PseuMenz,50,17
11447,PseuMenz,65,151
11447,PseuMenz,70,158
11447,PseuMenz,80,383
11447,PseuMenz,90,1209
11447,PseuMenz,105,1217
11447,PseuMenz,110,1309
11447,PopuTrem,60,25
11447,PopuTrem,70,102
11447,PopuTrem,75,67
11447,PopuTrem,80,146
11447,PopuTrem,85,275
11448,JuniOste,85,29
11448,JuniOste,90,70
11448,PinuPond,30,153
11448,PinuPond,60,119
11448,PseuMenz,50,406
11448,PseuMenz,55,64
11448,PseuMenz,65,187
11448,PseuMenz,75,1891
11448,PseuMenz,85,502
11448,PseuMenz,110,1097
11448,PseuMenz,115,1131
11448,QuerGamb,20,329
11448,QuerGamb,25,51
11448,QuerGamb,35,173
11490,JuniOste,55,87
11490,AbieConc,35,28
11490,AbieConc,55,80
11490,AbieConc,70,150
11490,AbieConc,85,404
11490,AbieConc,90,463
11490,AbieConc,115,1266
11490,PseuMenz,30,15
11490,PopuTrem,45,71
11490,PopuTrem,55,229
11490,PopuTrem,60,636
11490,PopuTrem,65,552
11490,PopuTrem,70,1202
11490,PopuTrem,75,836
11490,PopuTrem,80,452
11490,PopuTrem,85,154
11505,PinuPond,40,33
11505,PinuPond,50,75
11505,PinuPond,55,144
11505,PinuPond,60,125
11505,PinuPond,65,535
11505,PinuPond,70,236
11505,PinuPond,90,379
11505,PinuPond,100,709
11505,PinuPond,110,878
11626,AbieConc,45,206
11626,PinuPond,40,57
11626,PinuPond,45,44
11626,PinuPond,55,77
11626,PinuPond,60,86
11626,PinuPond,70,166
11626,PinuPond,100,680
11626,PinuPond,115,792
11626,PinuPond,130,1080
11626,PinuPond,135,1309
11626,PseuMenz,55,158
11626,PseuMenz,60,251
