SpeciesCode,CWDThreshold,MortalityAboveThreshold,CWDThreshold2,MortalityAboveThreshold2,Intercept,BetaAge,BetaTempAnom,BetaNormTemp,BetaSWAAnom,BetaBiomass,BetaCWDAnom,BetaNormCWD,IntxnCWD_Biomass,LagTemp,LagSWA,LagCWD
AbieConc,0,0,0,0,3.640009859,0.000558,0,-0.10232317,0,-0.000001,-0.027424815,0,0,0,0,2
AbieLasi,0,0,0,0,3.342723818,-0.005706,0,-0.076017705,0,-0.000017,0,0,0,0,0,1
JuniOste,0,0,0,0,8.379159893,0.001534,0,-0.192782913,0,-0.00002,-0.069155137,0,0,0,0,10
PiceEnge,0,0,0,0,3.174565794,-0.005201,0,0,0,-0.00002,-0.106144449,0,0,0,0,2
PinuPond,0,0,0,0,3.006915184,0.006527,0,0,0,-0.000052,-0.06431318,-0.011505619,0,0,0,7
PicePung,0,0,0,0,3.173413954,-0.005201,0,0,0,-0.00002,-0.106144449,0,0,0,0,2
PinuEdul,0,0,0,0,7.786815452,0.000461,0,-0.327170204,0,-0.000029,-0.10391087,0,0,0,0,10
PopuTrem,0,0,0,0,2.758883998,0.005096,0,-0.189546301,0,0.000022,-0.043297578,0,0,0,0,6
PseuMenz,0,0,0,0,2.074914386,0.008823,0,-0.010833151,0,-0.000011,-0.015261279,0,0,0,0,10
QuerGamb,0,0,0,0,1.52088856,0.026536,0,-0.089096019,0,-0.00001,-0.064145272,0,0,0,0,5
