FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,MinLAI,GrowthLAI
Conifers,1,16,30,0.8,3,0.2,0.004,10000,10,0,1,0.4,0.002,10,10,0.1,0.1,,
Hardwoods,2,23,35,0.05,7,0.3,0.004,10000,20,0,1,0.4,0.002,10,10,0.1,0.1,,
