Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2020, 2, 1, 26.2, 10.08, 106, 266, 0, 
2021, 2, 1, 26.2, 10.08, 106, 266, 0, 
2022, 2, 1, 26.2, 10.08, 106, 266, 0, 
2023, 2, 1, 26.2, 10.08, 106, 266, 0, 
2024, 2, 1, 26.2, 10.08, 106, 266, 0, 
2025, 2, 1, 26.2, 10.08, 106, 266, 0, 
2026, 2, 1, 26.2, 10.08, 106, 266, 0, 
2027, 2, 1, 26.2, 10.08, 106, 266, 0, 
2028, 2, 1, 26.2, 10.08, 106, 266, 0, 
1979, 3, 2, 62.49, 7.51, 126, 263, 0, 
1980, 3, 2, 84.01, 8.47, 138, 262, 0, 
1981, 3, 2, 66.25, 9.01, 104, 260, 0, 
1982, 3, 2, 100.55, 7.43, 123, 260, 0, 
1983, 3, 2, 94.74, 7.99, 128, 267, 0, 
1984, 3, 2, 62.14, 7.9, 120, 260, 0, 
1985, 3, 2, 75.21, 8.19, 110, 246, 0, 
1986, 3, 2, 72.93, 8.39, 118, 250, 0, 
1987, 3, 2, 72.12, 7.53, 116, 259, 0, 
1988, 3, 2, 62.04, 8.08, 130, 253, 0, 
1989, 3, 2, 39.45, 8.8, 108, 261, 0, 
1990, 3, 2, 72.11, 7.81, 112, 262, 0, 
1991, 3, 2, 70.93, 7.79, 134, 265, 0, 
1992, 3, 2, 98.3, 7.66, 110, 263, 0, 
1993, 3, 2, 98.5, 7.85, 118, 260, 0, 
1994, 3, 2, 61.28, 8.11, 122, 260, 0, 
1995, 3, 2, 75.71, 8.2, 135, 260, 0, 
1996, 3, 2, 45.33, 8.84, 119, 260, 0, 
1997, 3, 2, 70.7, 7.98, 118, 260, 0, 
1998, 3, 2, 85.06, 7.29, 135, 260, 0, 
1999, 3, 2, 54.3, 8.23, 129, 260, 0, 
2000, 3, 2, 57.72, 8.72, 113, 260, 0, 
2001, 3, 2, 56.34, 8.43, 114, 268, 0, 
2002, 3, 2, 36.29, 8.59, 119, 260, 0, 
2003, 3, 2, 60.2, 8.97, 122, 273, 0, 
2004, 3, 2, 75.95, 8.24, 118, 265, 0, 
2005, 3, 2, 76.97, 8.82, 114, 269, 0, 
2006, 3, 2, 47.71, 8.72, 111, 263, 0, 
2007, 3, 2, 58.05, 8.99, 110, 268, 0, 
2008, 3, 2, 73.45, 8.51, 123, 269, 0, 
2009, 3, 2, 39.23, 8.81, 111, 263, 0, 
