Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgCWDLimit,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,AvgCWD,
20, JuniOste, 1, 1, 1, 1, 1, 1, 0, 0, 146, 112, 263, 40.07, 
20, JuniOste, 2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, JuniOste, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, JuniOste, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PiceEnge, 1, 1, 0, 1, 1, 1, 0, 0, 135, 125, 261, 43.02, 
20, PiceEnge, 2, 3, 0.33, 1, 1, 1, 0, 0, 126, 133, 260, 48.69, 
20, PiceEnge, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PiceEnge, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PicePung, 1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PicePung, 2, 3, 0.22, 1, 1, 1, 0, 0, 131.33, 127.67, 260, 54.87, 
20, PicePung, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PicePung, 4, 1, 0.98, 1, 1, 1, 0, 0, 103, 157, 260, 20.5, 
20, PinuPond, 1, 1, 0.99, 1, 1, 1, 0, 0, 135, 125, 261, 42.98, 
20, PinuPond, 2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PinuPond, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PinuPond, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PinuEdul, 1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PinuEdul, 2, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, PinuEdul, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
